epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,14593.9,0.45988,0.29446,0.8357,0.99311,0.99706,0.99377,0.88605,0.56465,0.2875,0.81286,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,14793,0.47798,0.30663,0.83898,0.99093,0.99706,0.99431,0.88172,0.55737,0.27821,0.81267,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,14990.9,0.45941,0.29453,0.83632,0.99408,0.99706,0.99363,0.88325,0.55098,0.28258,0.8109,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,15189.2,0.46797,0.29723,0.83767,0.98791,0.99706,0.99376,0.88622,0.55389,0.28017,0.81359,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,15387,0.46251,0.29576,0.83875,0.99085,0.99706,0.99394,0.88215,0.56524,0.28062,0.81303,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,15586.4,0.46246,0.29528,0.83772,0.98833,0.99652,0.99392,0.88316,0.56116,0.2797,0.81202,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,15785.5,0.45468,0.28808,0.83789,0.99413,0.99599,0.99395,0.88259,0.55534,0.27451,0.81329,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,15983.4,0.44771,0.28716,0.83815,0.99122,0.99626,0.9934,0.88334,0.55601,0.27831,0.81207,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,16180.4,0.45487,0.28514,0.83392,0.98806,0.99706,0.99228,0.88811,0.55666,0.26941,0.81112,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,16377.6,0.44228,0.27815,0.82972,0.98833,0.99706,0.99398,0.88828,0.56252,0.27647,0.81285,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,16575.3,0.45109,0.28388,0.83612,0.98807,0.99706,0.99061,0.88294,0.55859,0.27112,0.81491,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,16774.4,0.4397,0.27245,0.83357,0.99413,0.99603,0.99381,0.8873,0.55151,0.2681,0.81392,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,16972.4,0.44468,0.28453,0.8331,0.99413,0.99655,0.99326,0.88556,0.55287,0.26863,0.81374,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,17170.6,0.44129,0.28102,0.83433,0.99413,0.99638,0.99349,0.88103,0.5571,0.27104,0.81552,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,17368.2,0.43433,0.27289,0.8329,0.99284,0.99706,0.99373,0.88784,0.55275,0.26723,0.81449,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,17567.5,0.43552,0.27314,0.83444,0.99122,0.99657,0.99373,0.89039,0.54794,0.26275,0.81261,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,17765.1,0.43719,0.27015,0.83268,0.99413,0.99635,0.99377,0.88711,0.55162,0.26411,0.81428,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,17963.1,0.42726,0.26582,0.82791,0.99097,0.99706,0.99351,0.88609,0.56285,0.26847,0.81504,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,18163.1,0.42482,0.2672,0.83124,0.99094,0.99706,0.99368,0.88803,0.56023,0.26623,0.81411,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,18361.8,0.4061,0.2536,0.79866,0.9941,0.99084,0.99361,0.88192,0.56031,0.272,0.8129,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,18559.6,0.40059,0.25011,0.80171,0.99329,0.99118,0.99387,0.88551,0.55777,0.27271,0.81236,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,18757.2,0.38903,0.24416,0.79977,0.99413,0.99628,0.99393,0.88854,0.5532,0.27088,0.81085,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,18954.3,0.3876,0.2456,0.80034,0.99413,0.99639,0.99399,0.88681,0.55346,0.26727,0.8111,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,19152,0.38062,0.23661,0.80186,0.99413,0.99695,0.9939,0.88747,0.55458,0.26438,0.81091,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,19348.4,0.38468,0.24095,0.79324,0.99413,0.99615,0.99401,0.88702,0.56085,0.26612,0.8121,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,19544.5,0.37628,0.23382,0.79929,0.99122,0.99639,0.99402,0.88811,0.55395,0.26176,0.81224,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,19740.3,0.37355,0.23413,0.79978,0.99122,0.99661,0.99395,0.88671,0.55276,0.26044,0.81132,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,19937.1,0.37083,0.23396,0.79486,0.9907,0.99706,0.99395,0.88699,0.5545,0.25893,0.81124,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,20132.6,0.36815,0.23039,0.79778,0.99073,0.99706,0.99389,0.88902,0.55505,0.25933,0.81131,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
